headline,Body ID,Stance
nicaragua meteorite impact theory may be,1627,unrelated
no that high school kid did make 72 million trading stocks,2407,agree
isil video claims beheading of kidnapped journalist james foley,2304,unrelated
tiger woods serving secret ped suspension,757,discuss
pentagon confirms leader killed in airstrike in somalia,1084,agree
pictured libyan islamist rebels pose with planes seized from tripoli airport as officials warn they could be used to carry out terrorist attack on anniversary,1958,agree
christian bale in talks to play steve jobs for sony danny boyle,1702,unrelated
this is why rumors that isis is crossing the border into the are going away,108,discuss
nicaragua meteorite experts attempt to understand whether mysterious meteorite fell from passing pitbull asteroid,2154,discuss
cook said to confirm apple watch is showerproof lasts a day,121,unrelated
mum offers to sell twin boy to save twin girl,1627,agree
mcdonald removing big mac apple pies and eliminating large size options,776,unrelated
cold turkey,1949,agree
founding time capsule found in boston,2061,unrelated
isis appears to behead american photojournalist in youtube video,1261,unrelated
breaking news photojournalist held hostage by killed in failed rescue attempt in yemen,913,unrelated
you may be able to make appointments at the apple store to try on the apple watch when it launches,2056,discuss
soldier shot at war memorial multiple shots fired in parliament,2156,agree
mass graves found in mexico near place where 43 students went missing,366,discuss
whiz kid stock picker i did actually make 72m trading,313,unrelated
isis video claims to show beheading of british hostage david haines,1301,unrelated
soldier shot near canadian parliament building,1574,unrelated
isis leader dead,1631,unrelated
sick kansas city man said not to have ebola plans new steps to fight virus,1358,unrelated
british rapper a suspect in isis beheading,975,unrelated
jose canseco shoots self in hand,2000,discuss
new policy could reduce marijuana possession arrests,687,unrelated
eyewitness says viral video of homeless man was staged,1934,unrelated
this soap opera star reportedly had his testicles stolen by an blonde organ trafficker,1015,unrelated
seth rogen to star as steve wozniak in sony steve jobs biopic updated,1795,unrelated
is the alleged audio of the gunshots that killed michael brown a hoax,2313,unrelated
seth rogen to play woz in jobs biopic,646,unrelated
isis cracks down on five confirmed ebola cases among fighters official,527,unrelated
rats at vogue nyc offices watch your step anna wintour,1933,unrelated
mum faces sophie choice as she tries to sell her son to fund daughter care,1776,unrelated
islamic state reports youngest jihadist in battle,847,unrelated
sun baby fans freak out over jess smith 19,2081,unrelated
reports boko haram may release schoolgirls as part of deal,1697,unrelated
report christian bale will play steve jobs,1658,unrelated
islamic state leader family detained by lebanon officials say,2268,discuss
hilarious north dakota pays special tribute to president obama,265,unrelated
isis murdered kidnap victim to his own mother after she travelled to their headquarters and demanded to see him,730,unrelated
senior western intelligence official confirms london rapper abdel majed abdel bary is a suspect in the foley killing,1314,discuss
apple may launch macbook air with retina display,1234,unrelated
bali spider burrows under aussie chest,986,disagree
confusion as cuba castro mourned instead of kenya fidel,2377,unrelated
apple retina macbook air shown in artist renditions,1362,discuss
nun gives birth intends to keep baby,534,discuss
pentagon somali terror group leader killed in airstrike,2374,discuss
you never guess how a homeless man spent the touching video,467,unrelated
this selfless homeless man receives 100 does spend a dime on himself,1948,unrelated
experts more facts needed on purported audio recording of michael brown shooting,2141,unrelated
no a bird did poop on vladimir putin,720,unrelated
microsoft turns to robotic security guards to watch for trouble,2306,unrelated
to open first physical store in manhattan dj,568,unrelated
iraqi media isis militants have contracted ebola,2138,discuss
crazy iphone rig shows how chinese workers manipulate app store rankings,2421,unrelated
everyone chill banksy has not been arrested,2412,unrelated
missing american journalist reportedly beheaded by islamic state,984,unrelated
update soldier gunman who died in ottawa rampage identified,419,unrelated
macaulay culkin dead,2341,discuss
report audio reveals pause between gunshots when michael brown was shot,1803,unrelated
boko haram doubts after attacks reported in nigeria,1540,disagree
insurgents killed in nigeria despite alleged truce with boko haram,1372,unrelated
isis executioner john identified as mohammed emwazi,1374,agree
saddam hussein pilots training islamic state group,487,unrelated
wfb bill gertz obama administration to play down missing libyan airliners,723,unrelated
palestine accuses israel of opening dams flooding gaza forcing evacuations,993,unrelated
give a homeless man 100 and see what he does with it video,1681,unrelated
nigeria claims boko haram will release the kidnapped schoolgirls,2356,discuss
turkish leader says airdrop aided isis militants,1572,unrelated
cnn posts alleged audio of michael brown shooting,1818,discuss
hospital officials kansas city patient not being treated for ebola,707,unrelated
isis claims to have intercepted supplies from airdrop,1597,discuss
nigeria announces truce with boko haram fate of schoolgirls unclear,2192,unrelated
catholic priest claims god is female after clinically dead experience,2520,unrelated
seth rogen to play steve wozniak in steve jobs biopic,646,unrelated
james foley killer john believed to be former london rapper abdel bary,8,unrelated
tiger woods is not on suspension for failing a drug test his agent and a pga official say,173,unrelated
bih seven primary school students pregnant after excursion,1221,unrelated
meet the who made 72 million during his lunch breaks,2220,unrelated
apple watch launch expected in late march,2273,discuss
calm yourselves durex has not come out with a pumpkin spice condom,788,unrelated
isis claims it has us airdrop of weapons,1347,unrelated
nigeria hopes for return of kidnapped schoolgirls rise after ceasefire reported,2463,discuss
report isis kidnaps former idf soldier who went to fight with the kurds,2147,unrelated
meteorite leaves crater in nicaraguan capital managua,1825,discuss
guantanamo detainee freed in bowe bergdahl swap to terrorism,2254,unrelated
texas city plumber truck ends up in syrian war,1299,unrelated
has ebola infected isis militants in mosul,2299,unrelated
was the batmobile stolen in detroit,61,unrelated
apple watch mass production kicks off in january report,2116,unrelated
woman may have been captured in syria reports,1223,unrelated
us probing claims isis fighters seized airdropped weapons meant for kurds,693,unrelated
wfb bill gertz obama administration to play down missing libyan airliners,1681,unrelated
macaulay culkin dead the death hoax is once again on the child actor,1423,unrelated
